Porto,CO_ANO,Sentido,VL_FOB,KG,VL_FRETE,USD_kg
Itajaí,2023,EXP,306217937,16078496,0,19.0452
Itajaí,2023,IMP,1869538036,13349970,126022621,140.0406
Itajaí,2024,EXP,342824300,19456108,0,17.6204
Itajaí,2024,IMP,2452062330,19609940,175363202,125.0418
Outros Portos,2023,EXP,4604013771,67782780,0,67.9231
Outros Portos,2023,IMP,12572084716,45221588,518413476,278.0107
Outros Portos,2024,EXP,5149125143,85035034,0,60.553
Outros Portos,2024,IMP,14394549929,54619851,620375561,263.5406
Paranaguá,2023,EXP,481762104,19839087,0,24.2835
Paranaguá,2023,IMP,1418275118,12202793,128009084,116.2255
Paranaguá,2024,EXP,511215926,23124856,0,22.1068
Paranaguá,2024,IMP,1509053816,13140953,137975893,114.8359
Pecém,2023,EXP,37654783,2468346,0,15.2551
Pecém,2023,IMP,102944843,1081017,9027743,95.2296
Pecém,2024,EXP,33251229,2900923,0,11.4623
Pecém,2024,IMP,83181729,1061111,10197466,78.3912
Rio Grande,2023,EXP,718093889,16510322,0,43.4936
Rio Grande,2023,IMP,621838384,7354323,68796673,84.5541
Rio Grande,2024,EXP,633083975,18316398,0,34.5638
Rio Grande,2024,IMP,643631424,6462765,59119269,99.5907
Rio de Janeiro,2023,EXP,1014147842,11792166,0,86.0018
Rio de Janeiro,2023,IMP,9323693742,15017502,177072754,620.8552
Rio de Janeiro,2024,EXP,860863411,12047455,0,71.456
Rio de Janeiro,2024,IMP,11348674832,16028664,171202737,708.0238
Santos,2023,EXP,6027991857,108188038,0,55.7177
Santos,2023,IMP,19066786700,117512455,1104991894,162.2533
Santos,2024,EXP,7040912542,113203534,0,62.1969
Santos,2024,IMP,21163296120,132989162,1228832239,159.1355
Suape,2023,EXP,27531133,9711327,0,2.835
Suape,2023,IMP,328149303,3795705,50575641,86.4528
Suape,2024,EXP,36688622,11981916,0,3.062
Suape,2024,IMP,314166912,4213009,47313520,74.5707
Vila do Conde,2023,EXP,76983315,999622,0,77.0124
Vila do Conde,2023,IMP,45797821,508636,3626285,90.0405
Vila do Conde,2024,EXP,198116976,1212546,0,163.3892
Vila do Conde,2024,IMP,59217721,579355,4091857,102.2132
