Terminal,n_escalas,teu_medio,prancha_media,espera_media_h,operacao_media_h,estadia_media_h,pct_paralisacao
TECON Suape,544,1283.4,220.3,8.3,18.7,31.2,20.3
Portonave - Terminais Portuários de Navegantes,480,2153.2,200.8,26.2,10.1,39.7,24.7
Cais da Santos Brasil (SSZ 16) - Privativo,988,2420.7,123.3,26.6,19.8,52.8,27.5
Cais da BTP (SSZ 41) - Privativo,728,2234.4,114.7,30.1,20.1,57.0,26.0
TCP,736,1792.2,110.0,34.0,17.5,54.6,16.5
DP World Santos,555,2057.9,104.6,23.7,20.2,49.5,23.3
Multi-Rio,419,1427.1,89.8,1.4,18.0,25.7,28.3
Cais Tecon Rio Grande S.A.,591,1632.9,86.4,29.5,19.4,51.4,11.4
TECON Ãrea 2,236,1152.7,81.5,6.0,15.7,24.6,19.0
Tecon Sepetiba,282,884.7,58.5,7.2,35.5,55.7,26.2
TECON,197,759.8,52.9,11.0,23.7,41.0,19.0
ICTSI,466,688.2,39.7,2.7,19.1,22.5,4.9
