Porto_Canon,Taxa_Media_Pct,TEstadia_Med,TEspera_Med,N_Atr
Itaguaí,60.71666666666667,77.31666667,17.61666667,578.0
Itajaí,45.111111111111114,31.042166910688138,10.750463640841874,1366.0
Paranaguá,77.0,98.25,58.3,2216.0
Pecém,61.1,87.0,26.683333335,385.0
Rio Grande,45.57368421052632,62.41666667,17.83333333,954.0
Rio de Janeiro,36.67916666666667,24.091666664999998,1.0,1135.0
Salvador,24.3625,30.050000000000004,2.166666667,331.0
Santos,60.56181818181818,75.82721014326087,23.72580615658152,4600.0
Suape,65.71818181818182,54.6,6.1166666665000005,514.0
São Francisco do Sul,68.88571428571429,239.55000000000004,163.33333335,409.0
