carrier,porto,total,n_comp,n_indet,pct_comp,pct_indet,pct_incomp,pct_comp_det
CMA CGM,Itaguaí,231,140,66,60.6,28.6,10.8,84.8
CMA CGM,Manaus,231,70,66,30.3,28.6,41.1,42.4
CMA CGM,Paranaguá,231,104,66,45.0,28.6,26.4,63.0
CMA CGM,Pecém,231,98,66,42.4,28.6,29.0,59.4
CMA CGM,Santos,231,140,66,60.6,28.6,10.8,84.8
CMA CGM,Suape,231,104,66,45.0,28.6,26.4,63.0
COSCO,Itaguaí,335,190,97,56.7,29.0,14.3,79.8
COSCO,Manaus,335,92,97,27.5,29.0,43.5,38.7
COSCO,Paranaguá,335,150,97,44.8,29.0,26.2,63.0
COSCO,Pecém,335,142,97,42.4,29.0,28.6,59.7
COSCO,Santos,335,190,97,56.7,29.0,14.3,79.8
COSCO,Suape,335,150,97,44.8,29.0,26.2,63.0
EVERGREEN,Itaguaí,142,93,36,65.5,25.4,9.1,87.7
EVERGREEN,Manaus,142,10,36,7.0,25.4,67.6,9.4
EVERGREEN,Paranaguá,142,38,36,26.8,25.4,47.8,35.8
EVERGREEN,Pecém,142,37,36,26.1,25.4,48.5,34.9
EVERGREEN,Santos,142,93,36,65.5,25.4,9.1,87.7
EVERGREEN,Suape,142,38,36,26.8,25.4,47.8,35.8
Hapag-Lloyd,Itaguaí,100,64,19,64.0,19.0,17.0,79.0
Hapag-Lloyd,Manaus,100,11,19,11.0,19.0,70.0,13.6
Hapag-Lloyd,Paranaguá,100,34,19,34.0,19.0,47.0,42.0
Hapag-Lloyd,Pecém,100,26,19,26.0,19.0,55.0,32.1
Hapag-Lloyd,Santos,100,64,19,64.0,19.0,17.0,79.0
Hapag-Lloyd,Suape,100,34,19,34.0,19.0,47.0,42.0
MAERSK,Itaguaí,261,175,58,67.0,22.2,10.8,86.2
MAERSK,Manaus,261,88,58,33.7,22.2,44.1,43.3
MAERSK,Paranaguá,261,156,58,59.8,22.2,18.0,76.8
MAERSK,Pecém,261,150,58,57.5,22.2,20.3,73.9
MAERSK,Santos,261,175,58,67.0,22.2,10.8,86.2
MAERSK,Suape,261,156,58,59.8,22.2,18.0,76.8
MSC,Itaguaí,220,141,46,64.1,20.9,15.0,81.0
MSC,Manaus,220,48,46,21.8,20.9,57.3,27.6
MSC,Paranaguá,220,85,46,38.6,20.9,40.5,48.9
MSC,Pecém,220,76,46,34.5,20.9,44.6,43.7
MSC,Santos,220,141,46,64.1,20.9,15.0,81.0
MSC,Suape,220,85,46,38.6,20.9,40.5,48.9
ONE,Itaguaí,58,46,9,79.3,15.5,5.2,93.9
ONE,Manaus,58,21,9,36.2,15.5,48.3,42.9
ONE,Paranaguá,58,28,9,48.3,15.5,36.2,57.1
ONE,Pecém,58,28,9,48.3,15.5,36.2,57.1
ONE,Santos,58,46,9,79.3,15.5,5.2,93.9
ONE,Suape,58,28,9,48.3,15.5,36.2,57.1
ZIM,Itaguaí,30,26,4,86.7,13.3,-0.0,100.0
ZIM,Manaus,30,14,4,46.7,13.3,40.0,53.8
ZIM,Paranaguá,30,15,4,50.0,13.3,36.7,57.7
ZIM,Pecém,30,15,4,50.0,13.3,36.7,57.7
ZIM,Santos,30,26,4,86.7,13.3,-0.0,100.0
ZIM,Suape,30,15,4,50.0,13.3,36.7,57.7
