carrier,porto,teu_bloqueado,teu_total,pct_teu_bloqueado
CMA CGM,Itaguaí,439925,1507176,29.2
CMA CGM,Manaus,966699,1507176,64.1
CMA CGM,Paranaguá,829897,1507176,55.1
CMA CGM,Pecém,868207,1507176,57.6
CMA CGM,Santos,439925,1507176,29.2
CMA CGM,Suape,829897,1507176,55.1
COSCO,Itaguaí,670106,2695370,24.9
COSCO,Manaus,1302128,2695370,48.3
COSCO,Paranaguá,944399,2695370,35.0
COSCO,Pecém,984170,2695370,36.5
COSCO,Santos,670106,2695370,24.9
COSCO,Suape,944399,2695370,35.0
EVERGREEN,Itaguaí,296988,1257964,23.6
EVERGREEN,Manaus,896201,1257964,71.2
EVERGREEN,Paranaguá,764058,1257964,60.7
EVERGREEN,Pecém,769422,1257964,61.2
EVERGREEN,Santos,296988,1257964,23.6
EVERGREEN,Suape,764058,1257964,60.7
Hapag-Lloyd,Itaguaí,255387,1085870,23.5
Hapag-Lloyd,Manaus,809477,1085870,74.5
Hapag-Lloyd,Paranaguá,624371,1085870,57.5
Hapag-Lloyd,Pecém,677762,1085870,62.4
Hapag-Lloyd,Santos,255387,1085870,23.5
Hapag-Lloyd,Suape,624371,1085870,57.5
MAERSK,Itaguaí,433354,1837143,23.6
MAERSK,Manaus,953428,1837143,51.9
MAERSK,Paranaguá,565010,1837143,30.8
MAERSK,Pecém,610518,1837143,33.2
MAERSK,Santos,433354,1837143,23.6
MAERSK,Suape,565010,1837143,30.8
MSC,Itaguaí,639766,2573411,24.9
MSC,Manaus,1674865,2573411,65.1
MSC,Paranaguá,1331694,2573411,51.7
MSC,Pecém,1392899,2573411,54.1
MSC,Santos,639766,2573411,24.9
MSC,Suape,1331694,2573411,51.7
ONE,Itaguaí,62272,723697,8.6
ONE,Manaus,355418,723697,49.1
ONE,Paranaguá,274808,723697,38.0
ONE,Pecém,274808,723697,38.0
ONE,Santos,62272,723697,8.6
ONE,Suape,274808,723697,38.0
ZIM,Manaus,136920,301466,45.4
ZIM,Paranaguá,131474,301466,43.6
ZIM,Pecém,131474,301466,43.6
ZIM,Suape,131474,301466,43.6
